weight,round,result_type,winner_name,winner_team,winner_conf,winner_seed,winner_tpar_v1,winner_tpar_v3b,loser_name,loser_team,loser_conf,loser_seed,loser_tpar_v1,loser_tpar_v3b
174,R32,Fall,Levi Haines,Penn State,Big Ten,1,5.2112,5.3684,Grant O`Dell,Bellarmine,SoCon,33,0.9526,0.8629
174,R32,Dec,Nick Fine,Columbia,CAA,16,2.7273,2.7505,Jared Simma,Northern Iowa,Big 12,17,1.5541,1.6682
174,R32,Dec,Beau Mantanona,Michigan,Big Ten,9,3.7015,3.9341,Garrett Thompson,Ohio,MAC,24,2.6389,2.6232
174,R32,Dec,Alex Facundo,Oklahoma State,Big 12,8,2.9986,3.1509,Sergio Desiante,Virginia Tech,ACC,25,1.1647,1.2422
174,R32,Dec,Patrick Kennedy,Iowa,Big Ten,5,3.5718,3.7923,Holden Garcia,Princeton,CAA,28,1.1814,1.1311
174,R32,Dec,Carter Schubert,Oklahoma,Big 12,12,2.1778,2.3196,Lenny Pinto,Rutgers,Big Ten,21,1.7048,1.7748
174,R32,Dec,Daschle Lamer,Oregon State,Pac-12,20,2.9871,3.0100,Carter Baer,Binghamton,EIWA,13,2.1900,2.1113
174,R32,Dec,Carson Kharchla,Ohio State,Big Ten,4,3.6021,3.7746,Avery Bassett,Lock Haven,MAC,29,1.9159,1.9244
174,R32,TF,Christopher Minto,Nebraska,Big Ten,3,3.6976,3.8868,Riley Davis,Wyoming,Big 12,30,0.5015,0.6740
174,R32,SV-1,Logan Messer,George Mason,MAC,19,2.0988,1.9976,Moses Espinoza-Owens,South Dakota State,Big 12,14,1.7067,1.8124
174,R32,Fall,MJ Gaitan,Iowa State,Big 12,11,2.8052,2.9129,Brody Baumann,Purdue,Big Ten,22,1.3836,1.5020
174,R32,TB-1,Matty Singleton,NC State,ACC,6,3.0647,3.1916,Collin Carrigan,North Carolina,ACC,27,0.3300,0.4030
174,R32,TF,Cam Steed,Missouri,Big 12,7,2.7762,2.9233,Derek Gilcher,Indiana,Big Ten,26,1.4931,1.6731
